msg137/\Bart Schuller/\ August 29, 1999 13:32
msg142/\Chip Salzenberg/\ August 29, 1999 13:42
msg191/\Philip 'Yes, that's my address' Newton/\ August 30, 1999 02:27
msg77/\Tom Christiansen/\ August 28, 1999 13:04
msg190/\paul.marquess/\ August 30, 1999 01:27
msg60/\Ilya Zakharevich/\ August 28, 1999 04:02
msg213/\Gurusamy Sarathy/\ August 30, 1999 09:13
msg251/\thospel/\ August 30, 1999 20:48
msg249/\thospel/\ August 30, 1999 20:19
msg285/\Nick Ing-Simmons/\ August 31, 1999 08:33
msg314/\Larry Wall/\ August 31, 1999 20:18
msg343/\Ilya Zakharevich/\ September  1, 1999 12:49
msg416/\Nick Ing-Simmons/\ September  3, 1999 02:18
msg466/\Ilya Zakharevich/\ September  3, 1999 14:00
msg318/\Ilya Zakharevich/\ August 31, 1999 22:58
msg701/\Larry Wall/\ September  7, 1999 16:35
msg716/\Nick Ing-Simmons/\ September  8, 1999 01:55
msg704/\Ilya Zakharevich/\ September  7, 1999 18:37
msg849/\Nick Ing-Simmons/\ September  9, 1999 05:42
msg902/\Ilya Zakharevich/\ September  9, 1999 13:22
msg870/\Gurusamy Sarathy/\ September  9, 1999 10:08
msg892/\Ilya Zakharevich/\ September  9, 1999 12:58
msg896/\Gurusamy Sarathy/\ September  9, 1999 13:07
msg1058/\Nick Ing-Simmons/\ September 12, 1999 17:54
msg899/\Ilya Zakharevich/\ September  9, 1999 13:14
msg905/\Gurusamy Sarathy/\ September  9, 1999 14:19
msg913/\Larry Wall/\ September  9, 1999 14:57
msg916/\Gurusamy Sarathy/\ September  9, 1999 15:19
msg876/\Larry Wall/\ September  9, 1999 10:32
msg1053/\Nick Ing-Simmons/\ September 12, 1999 16:59
msg912/\Larry Wall/\ September  9, 1999 14:52
msg906/\Gurusamy Sarathy/\ September  9, 1999 14:32
msg886/\Gurusamy Sarathy/\ September  9, 1999 12:36
msg1020/\Nick Ing-Simmons/\ September 11, 1999 00:55
msg910/\Gurusamy Sarathy/\ September  9, 1999 14:46
msg1019/\Nick Ing-Simmons/\ September 11, 1999 00:55
msg921/\Gurusamy Sarathy/\ September  9, 1999 15:46
msg894/\Ilya Zakharevich/\ September  9, 1999 13:05
msg898/\Gurusamy Sarathy/\ September  9, 1999 13:13
msg1051/\Nick Ing-Simmons/\ September 12, 1999 16:59
msg915/\Gurusamy Sarathy/\ September  9, 1999 15:12
msg923/\Larry Wall/\ September  9, 1999 15:58
msg927/\Gurusamy Sarathy/\ September  9, 1999 16:16
msg928/\Ilya Zakharevich/\ September  9, 1999 16:23
msg936/\Gurusamy Sarathy/\ September  9, 1999 16:35
msg938/\Ilya Zakharevich/\ September  9, 1999 16:42
msg941/\Gurusamy Sarathy/\ September  9, 1999 16:54
msg944/\Ilya Zakharevich/\ September  9, 1999 17:24
msg901/\Ilya Zakharevich/\ September  9, 1999 13:19
msg891/\Gurusamy Sarathy/\ September  9, 1999 12:57
msg897/\Ilya Zakharevich/\ September  9, 1999 13:11
msg903/\Gurusamy Sarathy/\ September  9, 1999 13:23
msg904/\Ilya Zakharevich/\ September  9, 1999 13:36
msg909/\Gurusamy Sarathy/\ September  9, 1999 14:41
msg914/\Larry Wall/\ September  9, 1999 15:07
msg919/\Gurusamy Sarathy/\ September  9, 1999 15:33
msg1024/\Gisle Aas/\ September 11, 1999 08:38
msg1026/\Gurusamy Sarathy/\ September 11, 1999 11:05
msg926/\Ilya Zakharevich/\ September  9, 1999 16:06
msg929/\Gurusamy Sarathy/\ September  9, 1999 16:24
msg933/\Ilya Zakharevich/\ September  9, 1999 16:28
msg939/\Gurusamy Sarathy/\ September  9, 1999 16:51
